Simulation,Agent,Episode,Reward
0,2,50,13.0
0,3,50,40.0
0,4,50,12.0
0,0,51,20.0
0,1,51,25.0
0,2,51,16.0
0,3,51,20.0
0,4,51,24.0
0,0,52,31.0
0,1,52,34.0
0,2,52,15.0
0,3,52,17.0
0,4,52,13.0
0,0,53,14.0
0,1,53,12.0
0,2,53,25.0
0,3,53,35.0
0,4,53,16.0
0,0,54,22.0
0,1,54,18.0
0,2,54,16.0
0,3,54,18.0
0,4,54,51.0
0,0,55,18.0
0,1,55,25.0
0,2,55,25.0
0,3,55,17.0
0,4,55,24.0
0,0,56,49.0
0,1,56,42.0
0,2,56,14.0
0,3,56,17.0
0,4,56,17.0
0,0,57,18.0
0,1,57,40.0
0,2,57,18.0
0,3,57,19.0
0,4,57,23.0
0,0,58,9.0
0,1,58,15.0
0,2,58,17.0
0,3,58,22.0
0,4,58,36.0
0,0,59,13.0
0,1,59,11.0
0,2,59,9.0
0,3,59,14.0
0,4,59,35.0
0,0,60,44.0
0,1,60,12.0
0,2,60,14.0
0,3,60,19.0
0,4,60,13.0
0,0,61,19.0
0,1,61,14.0
0,2,61,11.0
0,3,61,14.0
0,4,61,36.0
0,0,62,64.0
0,1,62,12.0
0,2,62,16.0
0,3,62,25.0
0,4,62,25.0
0,0,63,30.0
0,1,63,14.0
0,2,63,17.0
0,3,63,35.0
0,4,63,42.0
0,0,64,26.0
0,1,64,15.0
0,2,64,14.0
0,3,64,13.0
0,4,64,18.0
0,0,65,22.0
0,1,65,18.0
0,2,65,10.0
0,3,65,28.0
0,4,65,33.0
0,0,66,24.0
0,1,66,21.0
0,2,66,25.0
0,3,66,27.0
0,4,66,19.0
0,0,67,23.0
0,1,67,12.0
0,2,67,10.0
0,3,67,9.0
0,4,67,15.0
0,0,68,22.0
0,1,68,25.0
0,2,68,15.0
0,3,68,19.0
0,4,68,29.0
0,0,69,20.0
0,1,69,15.0
0,2,69,16.0
0,3,69,28.0
0,4,69,16.0
0,0,70,10.0
0,1,70,20.0
0,2,70,28.0
0,3,70,19.0
0,4,70,17.0
0,0,71,45.0
0,1,71,43.0
0,2,71,23.0
0,3,71,13.0
0,4,71,20.0
0,0,72,20.0
0,1,72,53.0
0,2,72,13.0
0,3,72,30.0
0,4,72,15.0
0,0,73,15.0
0,1,73,31.0
0,2,73,30.0
0,3,73,11.0
0,4,73,15.0
0,0,74,14.0
0,1,74,11.0
0,2,74,32.0
0,3,74,26.0
0,4,74,13.0
0,0,75,10.0
0,1,75,30.0
0,2,75,14.0
0,3,75,13.0
0,4,75,33.0
0,0,76,31.0
0,1,76,14.0
0,2,76,19.0
0,3,76,19.0
0,4,76,31.0
0,0,77,20.0
0,1,77,28.0
0,2,77,14.0
0,3,77,12.0
0,4,77,33.0
0,0,78,19.0
0,1,78,21.0
0,2,78,18.0
0,3,78,17.0
0,4,78,20.0
0,0,79,20.0
0,1,79,15.0
0,2,79,41.0
0,3,79,24.0
0,4,79,19.0
0,0,80,14.0
0,1,80,25.0
0,2,80,10.0
0,3,80,19.0
0,4,80,14.0
0,0,81,12.0
0,1,81,14.0
0,2,81,25.0
0,3,81,18.0
0,4,81,19.0
0,0,82,28.0
0,1,82,13.0
0,2,82,14.0
0,3,82,12.0
0,4,82,11.0
0,0,83,30.0
0,1,83,19.0
0,2,83,10.0
0,3,83,17.0
0,4,83,15.0
0,0,84,25.0
0,1,84,53.0
0,2,84,35.0
0,3,84,38.0
0,4,84,16.0
0,0,85,33.0
0,1,85,23.0
0,2,85,13.0
0,3,85,14.0
0,4,85,20.0
0,0,86,27.0
0,1,86,18.0
0,2,86,9.0
0,3,86,15.0
0,4,86,45.0
0,0,87,29.0
0,1,87,11.0
0,2,87,31.0
0,3,87,10.0
0,4,87,55.0
0,0,88,15.0
0,1,88,38.0
0,2,88,17.0
0,3,88,19.0
0,4,88,25.0
0,0,89,13.0
0,1,89,25.0
0,2,89,26.0
0,3,89,31.0
0,4,89,49.0
0,0,90,15.0
0,1,90,36.0
0,2,90,21.0
0,3,90,18.0
0,4,90,23.0
0,0,91,17.0
0,1,91,27.0
0,2,91,12.0
0,3,91,16.0
0,4,91,16.0
0,0,92,34.0
0,1,92,21.0
0,2,92,21.0
0,3,92,14.0
0,4,92,33.0
0,0,93,14.0
0,1,93,13.0
0,2,93,80.0
0,3,93,16.0
0,4,93,13.0
0,0,94,25.0
0,1,94,12.0
0,2,94,18.0
0,3,94,18.0
0,4,94,10.0
0,0,95,29.0
0,1,95,19.0
0,2,95,19.0
0,3,95,49.0
0,4,95,17.0
0,0,96,10.0
0,1,96,38.0
0,2,96,20.0
0,3,96,18.0
0,4,96,19.0
0,0,97,11.0
0,1,97,14.0
0,2,97,26.0
0,3,97,26.0
0,4,97,46.0
0,0,98,45.0
0,1,98,20.0
0,2,98,16.0
0,3,98,22.0
0,4,98,28.0
0,0,99,18.0
0,1,99,39.0
0,2,99,13.0
0,3,99,27.0
0,4,99,11.0
0,0,100,12.0
0,1,100,21.0
0,2,100,38.0
0,3,100,19.0
0,4,100,18.0
0,0,101,14.0
0,1,101,14.0
0,2,101,11.0
0,3,101,9.0
0,4,101,9.0
0,0,102,11.0
0,1,102,53.0
0,2,102,14.0
0,3,102,11.0
0,4,102,32.0
0,0,103,25.0
0,1,103,13.0
0,2,103,28.0
0,3,103,12.0
0,4,103,31.0
0,0,104,14.0
0,1,104,25.0
0,2,104,17.0
0,3,104,19.0
0,4,104,10.0
0,0,105,10.0
0,1,105,16.0
0,2,105,11.0
0,3,105,14.0
0,4,105,12.0
0,0,106,11.0
0,1,106,19.0
0,2,106,21.0
0,3,106,10.0
0,4,106,12.0
0,0,107,43.0
0,1,107,16.0
0,2,107,21.0
0,3,107,38.0
0,4,107,18.0
0,0,108,10.0
0,1,108,24.0
0,2,108,44.0
0,3,108,19.0
0,4,108,9.0
0,0,109,28.0
0,1,109,18.0
0,2,109,26.0
0,3,109,15.0
0,4,109,19.0
0,0,110,22.0
0,1,110,11.0
0,2,110,20.0
0,3,110,19.0
0,4,110,21.0
0,0,111,50.0
0,1,111,24.0
0,2,111,39.0
0,3,111,15.0
0,4,111,15.0
0,0,112,26.0
0,1,112,9.0
0,2,112,19.0
0,3,112,19.0
0,4,112,11.0
0,0,113,26.0
0,1,113,38.0
0,2,113,12.0
0,3,113,20.0
0,4,113,31.0
0,0,114,18.0
0,1,114,21.0
0,2,114,34.0
0,3,114,25.0
0,4,114,48.0
0,0,115,9.0
0,1,115,44.0
0,2,115,16.0
0,3,115,28.0
0,4,115,23.0
0,0,116,12.0
0,1,116,12.0
0,2,116,28.0
0,3,116,16.0
0,4,116,20.0
0,0,117,33.0
0,1,117,10.0
0,2,117,30.0
0,3,117,27.0
0,4,117,24.0
0,0,118,13.0
0,1,118,22.0
0,2,118,14.0
0,3,118,10.0
0,4,118,38.0
0,0,119,36.0
0,1,119,34.0
0,2,119,11.0
0,3,119,15.0
0,4,119,12.0
0,0,120,19.0
0,1,120,15.0
0,2,120,23.0
0,3,120,13.0
0,4,120,40.0
0,0,121,49.0
0,1,121,25.0
0,2,121,11.0
0,3,121,11.0
0,4,121,31.0
0,0,122,16.0
0,1,122,15.0
0,2,122,14.0
0,3,122,13.0
0,4,122,17.0
0,0,123,28.0
0,1,123,33.0
0,2,123,18.0
0,3,123,11.0
0,4,123,15.0
0,0,124,12.0
0,1,124,19.0
0,2,124,11.0
0,3,124,10.0
0,4,124,35.0
0,0,125,19.0
0,1,125,12.0
0,2,125,14.0
0,3,125,12.0
0,4,125,29.0
0,0,126,12.0
0,1,126,24.0
0,2,126,20.0
0,3,126,13.0
0,4,126,28.0
0,0,127,28.0
0,1,127,22.0
0,2,127,13.0
0,3,127,12.0
0,4,127,18.0
0,0,128,24.0
0,1,128,28.0
0,2,128,21.0
0,3,128,11.0
0,4,128,13.0
0,0,129,29.0
0,1,129,27.0
0,2,129,41.0
0,3,129,31.0
0,4,129,22.0
0,0,130,17.0
0,1,130,32.0
0,2,130,11.0
0,3,130,15.0
0,4,130,16.0
0,0,131,11.0
0,1,131,12.0
0,2,131,19.0
0,3,131,9.0
0,4,131,27.0
0,0,132,15.0
0,1,132,34.0
0,2,132,13.0
0,3,132,29.0
0,4,132,13.0
0,0,133,21.0
0,1,133,19.0
0,2,133,22.0
0,3,133,19.0
0,4,133,12.0
0,0,134,22.0
0,1,134,10.0
0,2,134,11.0
0,3,134,11.0
0,4,134,28.0
0,0,135,50.0
0,1,135,27.0
0,2,135,15.0
0,3,135,16.0
0,4,135,13.0
0,0,136,18.0
0,1,136,22.0
0,2,136,10.0
0,3,136,15.0
0,4,136,29.0
0,0,137,46.0
0,1,137,20.0
0,2,137,61.0
0,3,137,16.0
0,4,137,15.0
0,0,138,35.0
0,1,138,10.0
0,2,138,14.0
0,3,138,20.0
0,4,138,14.0
0,0,139,10.0
0,1,139,13.0
0,2,139,47.0
0,3,139,13.0
0,4,139,16.0
0,0,140,10.0
0,1,140,19.0
0,2,140,29.0
0,3,140,22.0
0,4,140,25.0
0,0,141,18.0
0,1,141,21.0
0,2,141,13.0
0,3,141,24.0
0,4,141,27.0
0,0,142,17.0
0,1,142,9.0
0,2,142,8.0
0,3,142,22.0
0,4,142,20.0
0,0,143,26.0
0,1,143,42.0
0,2,143,19.0
0,3,143,24.0
0,4,143,33.0
0,0,144,26.0
0,1,144,28.0
0,2,144,29.0
0,3,144,12.0
0,4,144,10.0
0,0,145,17.0
0,1,145,28.0
0,2,145,21.0
0,3,145,18.0
0,4,145,15.0
0,0,146,30.0
0,1,146,38.0
0,2,146,44.0
0,3,146,14.0
0,4,146,14.0
0,0,147,40.0
0,1,147,17.0
0,2,147,18.0
0,3,147,11.0
0,4,147,23.0
0,0,148,16.0
0,1,148,16.0
0,2,148,15.0
0,3,148,13.0
0,4,148,68.0
0,0,149,24.0
0,1,149,15.0
0,2,149,18.0
0,3,149,18.0
0,4,149,19.0
0,0,150,25.0
0,1,150,30.0
0,2,150,14.0
0,3,150,29.0
0,4,150,12.0
0,0,151,31.0
0,1,151,12.0
0,2,151,11.0
0,3,151,16.0
0,4,151,18.0
0,0,152,80.0
0,1,152,27.0
0,2,152,11.0
0,3,152,14.0
0,4,152,15.0
0,0,153,11.0
0,1,153,25.0
0,2,153,11.0
0,3,153,14.0
0,4,153,19.0
0,0,154,20.0
0,1,154,24.0
0,2,154,13.0
0,3,154,20.0
0,4,154,24.0
0,0,155,16.0
0,1,155,9.0
0,2,155,23.0
0,3,155,16.0
0,4,155,27.0
0,0,156,29.0
0,1,156,32.0
0,2,156,26.0
0,3,156,14.0
0,4,156,11.0
0,0,157,10.0
0,1,157,12.0
0,2,157,14.0
0,3,157,14.0
0,4,157,20.0
0,0,158,17.0
0,1,158,23.0
0,2,158,33.0
0,3,158,48.0
0,4,158,19.0
0,0,159,23.0
0,1,159,20.0
0,2,159,17.0
0,3,159,24.0
0,4,159,18.0
0,0,160,11.0
0,1,160,14.0
0,2,160,11.0
0,3,160,21.0
0,4,160,28.0
0,0,161,38.0
0,1,161,49.0
0,2,161,13.0
0,3,161,19.0
0,4,161,12.0
0,0,162,31.0
0,1,162,13.0
0,2,162,40.0
0,3,162,27.0
0,4,162,12.0
0,0,163,12.0
0,1,163,13.0
0,2,163,34.0
0,3,163,14.0
0,4,163,11.0
0,0,164,22.0
0,1,164,46.0
0,2,164,17.0
0,3,164,25.0
0,4,164,13.0
0,0,165,22.0
0,1,165,9.0
0,2,165,25.0
